Date,CVS,HOLX,TMO,XLV
2024-04-15,86.06847775856318,107.01076717532456,102.58878497921857,100.25264373459906
2024-04-16,86.15584783652854,103.65719232591981,101.97824292830835,100.28878765560071
2024-04-17,85.61915183530394,103.39497531818186,100.63582469735317,100.11524000472826
2024-04-18,86.60514791982625,103.64338865995674,99.58213654615574,100.10802258654081
2024-04-19,87.89683074938885,104.02980707402607,100.18162872614289,100.48405575711286
2024-04-22,87.74562563043045,105.1890728453462,100.8436390215977,100.86731771188522
2024-04-23,86.32163186178887,106.52774415773789,105.66348210665846,102.18350200496467
2024-04-24,85.40170339093682,105.86530506996752,106.1783790031233,101.86528774198243
2024-04-25,84.8472294961714,104.48523328879871,105.13754662616628,101.18552060885457
2024-04-26,84.65819467351571,104.85785856601706,105.4814244784777,101.21445847768169
2024-04-29,84.99842427914518,105.7548968004871,106.0864359504785,101.55433636123917
2024-04-30,85.32608532748068,104.56803422635295,104.58402597250152,101.48202578721006
2024-05-01,70.9601571565789,105.27187378290044,105.73705009304916,101.66281358829575
2024-05-02,69.49835435620925,104.76125396249974,105.04927181463486,101.59049164825373
2024-05-03,70.44348712554924,105.63069539415572,105.25708613887939,101.84360138938142
2024-05-06,70.53169958626087,104.78885076531377,105.47221437155918,102.2558012129809
2024-05-07,70.24186307363036,105.02346044112558,105.34717814062388,103.10192131081955
2024-05-08,69.19591827833091,104.69224616179645,105.48877224760018,102.7475744928485
2024-05-09,70.16625017816654,104.54043742353892,106.27769239868205,103.62982714567592
2024-05-10,70.3426802675821,103.69859279469695,109.05449448702865,103.83955281558872
2024-05-13,71.1617863764901,104.29202408176404,108.6260100642992,103.73831573874537
2024-05-14,70.56950861798893,104.40243235124444,109.3799634123988,104.17944206515908
2024-05-15,70.8971489943552,103.31217438062761,110.15600521544877,105.72700428271366
2024-05-16,72.48496295117994,103.43637578695899,109.81213865003309,105.60406948725642
2024-05-17,72.68659217109114,103.53298039047634,109.47191775193932,105.8065663729689
2024-05-20,72.33374232824463,103.29837071466454,109.23471235120485,105.58238313465542
2024-05-21,72.23292513429287,102.88435549778114,108.51934889961797,105.7631709357411
2024-05-22,72.38414058923588,103.24316657992433,108.644396417449,105.95119888704001
2024-05-23,70.12845148242309,102.11150814053039,107.58333792333761,104.79412740845812
2024-05-24,69.98982525674327,101.84930166190453,107.40313134605712,104.43979195649999
2024-05-28,67.58290002301823,101.24206670887436,105.29201908117444,103.17423188484864
2024-05-29,67.6333034520018,99.90339539648267,104.32290363970785,102.3715072242378
2024-05-30,70.6199120469725,100.16561240422061,103.48801196230357,102.4221541776917
2024-05-31,75.106116970064,101.82169432997836,104.44793987064314,103.91909217381816
2024-06-03,75.87482481798072,102.856748165855,104.74216666862306,104.64949489438702
2024-06-04,75.9378278122121,103.0223605700756,104.75872454466406,104.95322885694283
2024-06-05,76.49230170697753,102.47032975178566,105.79038067538977,105.43051047037109
2024-06-06,76.79473778485585,103.2017661111472,106.62892930701169,105.77762850414179
2024-06-07,77.85328214540311,102.82915136304094,106.85879822551941,105.89334588141158
2024-06-10,75.96302694270774,102.08391133771633,106.93049258721837,106.28385935241005
2024-06-11,75.61017709986122,100.60723495303017,105.90254984518894,105.84271029397057
2024-06-12,75.59758270260572,100.02760733192615,105.86576585199359,105.61854978768288
2024-06-13,76.90815971204773,99.55837745119047,105.3030689520975,105.53174754721442
2024-06-14,75.88741404724392,99.07535443360379,105.26807957532378,105.49560362621276
2024-06-17,76.98376227152693,98.57852775005405,104.52281713693894,105.38712639915619
2024-06-18,76.88294507757519,98.63373188479426,104.73811467305474,105.52453012902699
2024-06-20,76.87035584831199,99.6549820547078,102.53724901329957,105.87164816279768
2024-06-21,77.33661211437347,100.84184462884195,103.89713935885014,106.16815334115314
2024-06-24,77.79028431916404,100.02760733192615,104.1455752208394,106.78743055366122
2024-06-25,76.16465099462664,98.88214522656912,102.4102714362981,106.45346299680843
2024-06-26,76.4040892462659,99.73778299226204,102.71390021842402,106.07596361057313
2024-06-27,73.5435073117272,102.41512561704545,101.35400987287343,105.90169990088836
2024-06-28,74.4256267508512,102.47032975178566,101.7625277770504,105.81459077807179
2024-07-01,73.2788699295923,102.26331687878792,99.68679993029214,105.21927312074342
2024-07-02,72.48496295117994,101.47667638468616,98.25327387697644,104.83447675423044
2024-07-03,71.45162805711293,101.40767911309499,98.56243323801174,104.03588932231284
2024-07-05,71.35081086316117,102.26331687878792,99.38866786638843,104.84173963646943
2024-07-08,71.69105597276757,102.856748165855,98.6875597641129,104.7255903507097
2024-07-09,72.61097927562733,103.16036564237008,97.8723524328678,105.23378751920856
2024-07-10,72.49756768442006,104.56803422635295,98.79429993706427,106.22841594151504
2024-07-11,73.35447765706381,105.56168759345246,99.86527961252538,106.97619729579822
2024-07-12,74.35000868739507,107.2177800483223,100.85900048669095,107.64410967747801
2024-07-15,73.93415585031717,106.73474650162353,100.23149423149333,107.26658755921692
2024-07-16,75.68580033130965,108.28043068701298,102.20784096131845,108.79845331296545
2024-07-17,77.62644862700398,108.87386197408007,102.14158688336303,109.29212471698628
2024-07-18,75.49677584463858,107.17637957954518,99.48436945531247,106.80921920037827
2024-07-19,75.06830793833593,107.79740766942632,98.33055525206346,107.35369668203352
2024-07-22,74.33553314093932,108.17002241753258,100.55166960276448,107.9708143520918
2024-07-23,73.87675495974806,107.78360400346322,101.62267185201705,107.90547114396647
2024-07-24,74.60315245463613,108.11481828279237,105.76124919750171,108.80571619520445
2024-07-25,74.7433445819854,107.47998652694815,109.39933172547742,108.26120461551052
2024-07-26,77.73817028472641,108.51504036282478,111.72531262443803,108.87104803731688
2024-07-29,78.46457811559911,109.90891580995668,111.16957973920951,108.93640261145512
2024-07-30,80.51635374990039,113.86972561239159,113.18275560981293,109.03077461651071
2024-07-31,76.88433009951383,112.62765890351723,112.86624847965514,108.63147521754549
2024-08-01,76.50200719653265,114.82196798160184,114.41749685547084,109.74226429162461
2024-08-02,75.59717959920566,115.42920293463202,113.29867202899557,109.52446875255734
2024-08-05,73.67284665522887,113.66271273939384,110.04890386183395,106.59868654355003
2024-08-06,74.34827740997176,113.78691414572523,110.78315028998293,107.09234658155795
2024-08-07,71.9651611168114,113.01407731758655,108.08726395714952,106.00334615419588
2024-08-08,73.72381856336636,115.0841849893398,110.41878672191527,108.34832510434
2024-08-09,72.78076849492663,115.42920293463202,109.7084572258255,108.88556243578202
2024-08-12,71.12405486464667,112.84846491336593,110.24028446589055,108.47174863835166
2024-08-13,71.13680430167142,112.54485796596296,111.18614890214621,109.78581885303291
2024-08-14,71.35344653923845,111.77201060871218,110.79785711512362,110.17784400374624
2024-08-15,73.35425543339456,111.16478618479412,111.0904473132222,110.86755639815597
2024-08-16,74.3610165110119,112.44825336244561,111.14382304314574,110.98370568391573
2024-08-19,74.93449311349521,112.26883729226194,111.80996434243899,111.65889231384745
2024-08-20,75.06194613980432,111.66161286834388,113.08705402088887,112.10900915645998
2024-08-21,74.32279403989918,110.43333929632048,112.2828852736711,112.29777589859697
2024-08-22,73.58364710798634,110.52994389983782,111.12172330129961,112.37038198896133
2024-08-23,74.87078210431758,110.75076043879864,111.5376002614948,112.85679051074315
2024-08-26,74.80706075915533,110.06072454821422,111.44008148235768,112.79872155086971
2024-08-27,73.22680757507774,110.00552041347402,112.32523370646305,112.9729511625158
2024-08-28,72.94644916034079,110.93016597987024,112.82941933887685,113.10362621275358
2024-08-29,72.60236423244926,111.45459999534613,112.5607460728375,113.34321039853788
2024-08-30,72.94644916034079,112.1170285540044,113.18459537381746,114.1272947980032
2024-09-03,73.12485859081046,113.38670259480492,111.59465551942746,113.90948789292305
2024-09-04,75.57169622913307,112.64146256948028,112.60123216783342,113.71348100057286
2024-09-05,74.00418731408793,111.77201060871218,111.67746747342389,112.15257508388117
2024-09-06,73.59638620902648,112.57245476877702,112.49634304578235,111.76779008338107
2024-09-09,71.9651611168114,114.11813895416645,114.16908356727306,112.55186311683352
2024-09-10,72.56412108936729,113.11068192110389,114.86652342843522,113.0673231675714
2024-09-11,71.50637776762784,110.41954615946952,113.80842210100597,112.7333669767315
2024-09-12,73.3160174583049,110.98537011461045,113.01712041492435,113.13992925793575
2024-09-13,73.88949922878051,111.992827147673,112.53837544549377,113.37226192749392
2024-09-16,74.38651021706912,114.13193209101745,113.08709916847181,114.15633496094637
2024-09-17,73.69833519329376,113.1658860558441,112.41315862422674,112.98021404475482
2024-09-18,74.45022122624675,112.77946764177476,112.34503092157955,112.79145866863072
2024-09-19,74.42474819215877,113.71791687413403,114.21033717117888,113.19800958382207
2024-09-20,73.2905340882323,112.32404142700214,113.00240230288792,112.7333669767315
2024-09-23,73.36698936644238,112.42064603051946,112.3873793543715,112.51258217627323
2024-09-24,74.0169367511127,112.07562808522727,112.66911155877449,112.28668267001282
2024-09-25,74.73059514496063,110.21253328647175,110.44107834098887,111.19360184402194
2024-09-26,75.20212276317665,110.5437475658009,114.04092086621958,111.56525909962993
